scenario,bus,Pd,Qd,Pg,Qg,Vm,Va,PQ,PV,REF,Vm_dc,Va_dc
6483,0,17.74348510888162,4.741897110492821,0.0,0.0,0.971350297729541,-23.22612282200551,1.0,0.0,0.0,1.0,-18.14767940916248
6483,1,13.078024865835596,3.7042133448150474,0.0,0.0,1.027854250749369,-16.0327052999704,1.0,0.0,0.0,1.0,-10.35016194963628
6483,2,0.0,0.0,0.0,0.0,0.9814579880621112,-15.857255942523436,1.0,0.0,0.0,1.0,-11.53236049032313
6483,3,0.0,0.0,158.24999999999997,-6.381308108224619,0.9888125285469208,-17.73575749618877,0.0,1.0,0.0,0.988812528546921,-13.360528050611716
6483,4,0.0,0.0,0.0,0.0,1.0046434647342324,-12.936061212406791,1.0,0.0,0.0,1.0,-7.538524440647081
6483,5,0.0,0.0,25.729999999998544,0.4052247693927171,1.0060720015635978,-10.791853761022388,0.0,1.0,0.0,1.0060720015635978,-5.37038848826113
6483,6,5.54158975628721,1.710561028446845,0.0,0.0,1.034412789633935,-17.045851013050253,1.0,0.0,0.0,1.0,-11.416137809863503
6483,7,0.0,0.0,0.0,0.0,1.0034773110353663,-5.568128952859918,1.0,0.0,0.0,1.0,-0.1529941446051528
6483,8,0.0,0.0,61.86999999999815,-3.998222666742257,1.0007861726776948,-2.2127296168078874,0.0,1.0,0.0,1.0007861726776948,3.2043710592978543
6483,9,0.0,0.0,0.0,0.0,1.0337415700985668,-14.727686671013643,1.0,0.0,0.0,1.0,-9.02354490222181
6483,10,0.0,0.0,9.999999999997703,0.0051024044278816,1.033978109956922,-12.987444549478663,0.0,1.0,0.0,1.0339781099569216,-7.163723899227586
6483,11,2.567123578771174,0.6982242378006975,0.0,0.0,0.9971571235477932,-21.458419658215337,1.0,0.0,0.0,1.0,-15.696721781877908
6483,12,23.122972712147973,7.020392058414258,0.0,0.0,1.0061161305097557,-16.165316727606662,1.0,0.0,0.0,1.0,-10.90510472486735
6483,13,1.7460653461813451,0.520327779879016,0.0,0.0,1.0091362241643405,-11.692942886709096,1.0,0.0,0.0,1.0,-6.321034739216466
6483,14,6.015189544034349,1.7249353301615375,0.0,0.0,1.0369711107061168,-16.286830960829125,1.0,0.0,0.0,1.0,-10.607776498379076
6483,15,2.273111892688578,0.6413742436865084,0.0,0.0,1.0244602667855274,-11.782095519836034,1.0,0.0,0.0,1.0,-6.090821229533005
6483,16,15.488942276586648,4.2619064898439545,0.0,0.0,0.9756170155885044,-21.221402769394945,1.0,0.0,0.0,1.0,-16.040874611190702
6483,17,0.0579108014428798,0.01711928543603,0.0,0.0,0.9750679462274476,-19.70453937325272,1.0,0.0,0.0,1.0,-14.71127665733295
6483,18,49.18766419292158,14.29203430987657,0.0,0.0,0.9885925945005094,-22.559793132827192,1.0,0.0,0.0,1.0,-17.342122498164922
6483,19,0.0,0.0,0.0,0.0,1.0085545596474368,-12.28093308546168,1.0,0.0,0.0,1.0,-7.10241848047467
6483,20,0.0,0.0,149.6299999999999,-12.443358141894354,0.9968232139170236,-5.580769053979377,0.0,1.0,0.0,0.9968232139170234,-0.4050600384252669
6483,21,0.0,0.0,0.0,0.0,0.9820156511780398,-15.070969937603234,1.0,0.0,0.0,1.0,-10.814944615678556
6483,22,0.0,0.0,134.9999999999992,3.306145207439279,0.9799812714011432,-5.608157993865552,0.0,1.0,0.0,0.9799812714011435,-1.739550971814179
6483,23,54.33199972576353,14.176364770514278,0.0,0.0,0.9700394764805792,-18.535361847080836,1.0,0.0,0.0,1.0,-13.601182034074007
6483,24,0.0,0.0,0.0,0.0,1.0077424344357884,-11.143551334224709,1.0,0.0,0.0,1.0,-5.938782433521232
6483,25,0.0,0.0,93.14999999999984,-4.030170994285914,0.9899080260528048,-1.432630799118433,0.0,1.0,0.0,0.9899080260528048,3.6925515860008273
6483,26,87.09608229231976,24.47142127802128,0.0,0.0,1.0071737682720514,-23.985542984385777,1.0,0.0,0.0,1.0,-18.10474942433757
6483,27,8.33362997320128,2.3479421031527163,0.0,0.0,0.9798282962029162,-17.052946282023598,1.0,0.0,0.0,1.0,-12.743845802258011
6483,28,66.35473365797687,20.13506771834312,0.0,0.0,1.0066202815175638,-22.84776039206456,1.0,0.0,0.0,1.0,-17.2022453707149
6483,29,21.10439462493832,5.728219809188981,0.0,0.0,1.0170728943849714,-11.067861040140537,1.0,0.0,0.0,1.0,-5.451859503053925
6483,30,7.758591890470998,2.06856251463443,0.0,0.0,1.0210028873538102,-17.2123671871999,1.0,0.0,0.0,1.0,-11.764738447312782
6483,31,0.0,0.0,0.0,0.0,0.99092002204917,-9.86274028260538,1.0,0.0,0.0,1.0,-4.273744673875429
6483,32,0.0,0.0,208.50000000000244,-28.986965056904396,1.00842816689405,-15.076710106668884,0.0,1.0,0.0,1.00842816689405,-9.705311835631608
6483,33,0.0,0.0,0.0,0.0,1.010127395027005,-10.882822855670172,1.0,0.0,0.0,1.0,-5.4066897949217045
6483,34,0.0,0.0,67.49999999999882,-3.2618230207278742,1.0087018446254432,-7.648277545177084,0.0,1.0,0.0,1.008701844625443,-2.120891431405518
6483,35,11.556029137584073,3.2237306297541024,0.0,0.0,0.9926283159941948,-9.540945144814785,1.0,0.0,0.0,1.0,-3.996692280476709
6483,36,82.12659570407635,23.24657269593802,0.0,0.0,0.9680288134057974,-22.58056668198984,1.0,0.0,0.0,1.0,-17.457741113255445
6483,37,0.0,0.0,0.0,0.0,1.0116590596134405,-5.313586030227611,1.0,0.0,0.0,1.0,0.1877619661766914
6483,38,0.0,0.0,110.62999999999865,-12.807298245205647,0.9983519001506436,0.1007188702184222,0.0,1.0,0.0,0.9983519001506432,5.63328079257562
6483,39,34.84539201384728,9.986593082012734,0.0,0.0,0.9714418186405874,-19.849882070995207,1.0,0.0,0.0,1.0,-14.846383431705876
6483,40,0.0,0.0,0.0,0.0,1.0039877044555177,-11.851624127184198,1.0,0.0,0.0,1.0,-6.442382166861343
6483,41,0.0,0.0,0.0,0.0,1.0039877044555177,-11.851624127184198,0.0,1.0,0.0,1.0,-6.442382166861342
6483,42,0.0,0.0,44.09999999999901,-0.5067059940223926,1.0030676930708555,-8.626482534607726,0.0,1.0,0.0,1.0030676930708555,-3.197032331850227
